sample_id,timestamp,device,scenario,distance_m,position_id,blockage,rssi_dbm,notes
150,2026-05-31 15:48:43,iphone 17,wifi_physical_sanity,5.0,P5,blocked,-57.0,ssid=TP_Link_Router; rep=10
151,2026-05-31 15:49:10,iphone 17,wifi_physical_sanity,6.0,P6,blocked,-49.0,ssid=TP_Link_Router; rep=1
152,2026-05-31 15:49:13,iphone 17,wifi_physical_sanity,6.0,P6,blocked,-46.0,ssid=TP_Link_Router; rep=2
153,2026-05-31 15:49:15,iphone 17,wifi_physical_sanity,6.0,P6,blocked,-52.0,ssid=TP_Link_Router; rep=3
154,2026-05-31 15:49:19,iphone 17,wifi_physical_sanity,6.0,P6,blocked,-50.0,ssid=TP_Link_Router; rep=4
155,2026-05-31 15:49:20,iphone 17,wifi_physical_sanity,6.0,P6,blocked,-49.0,ssid=TP_Link_Router; rep=5
156,2026-05-31 15:49:23,iphone 17,wifi_physical_sanity,6.0,P6,blocked,-44.0,ssid=TP_Link_Router; rep=6
157,2026-05-31 15:49:26,iphone 17,wifi_physical_sanity,6.0,P6,blocked,-40.0,ssid=TP_Link_Router; rep=7
158,2026-05-31 15:49:28,iphone 17,wifi_physical_sanity,6.0,P6,blocked,-45.0,ssid=TP_Link_Router; rep=8
159,2026-05-31 15:49:32,iphone 17,wifi_physical_sanity,6.0,P6,blocked,-54.0,ssid=TP_Link_Router; rep=9
160,2026-05-31 15:49:43,iphone 17,wifi_physical_sanity,6.0,P6,blocked,-53.0,ssid=TP_Link_Router; rep=10
161,2026-05-31 15:50:21,iphone 17,wifi_physical_sanity,7.0,P7,blocked,-66.0,ssid=TP_Link_Router; rep=1
162,2026-05-31 15:50:24,iphone 17,wifi_physical_sanity,7.0,P7,blocked,-59.0,ssid=TP_Link_Router; rep=2
163,2026-05-31 15:50:27,iphone 17,wifi_physical_sanity,7.0,P7,blocked,-66.0,ssid=TP_Link_Router; rep=3
164,2026-05-31 15:50:29,iphone 17,wifi_physical_sanity,7.0,P7,blocked,-57.0,ssid=TP_Link_Router; rep=4
165,2026-05-31 15:50:31,iphone 17,wifi_physical_sanity,7.0,P7,blocked,-59.0,ssid=TP_Link_Router; rep=5
166,2026-05-31 15:50:34,iphone 17,wifi_physical_sanity,7.0,P7,blocked,-66.0,ssid=TP_Link_Router; rep=6
167,2026-05-31 15:50:36,iphone 17,wifi_physical_sanity,7.0,P7,blocked,-57.0,ssid=TP_Link_Router; rep=7
168,2026-05-31 15:50:40,iphone 17,wifi_physical_sanity,7.0,P7,blocked,-70.0,ssid=TP_Link_Router; rep=8
169,2026-05-31 15:50:43,iphone 17,wifi_physical_sanity,7.0,P7,blocked,-57.0,ssid=TP_Link_Router; rep=9
170,2026-05-31 15:50:48,iphone 17,wifi_physical_sanity,7.0,P7,blocked,-54.0,ssid=TP_Link_Router; rep=10
171,2026-05-31 15:51:13,iphone 17,wifi_physical_sanity,8.0,P8,blocked,-56.0,ssid=TP_Link_Router; rep=1
172,2026-05-31 15:51:15,iphone 17,wifi_physical_sanity,8.0,P8,blocked,-58.0,ssid=TP_Link_Router; rep=2
173,2026-05-31 15:51:17,iphone 17,wifi_physical_sanity,8.0,P8,blocked,-62.0,ssid=TP_Link_Router; rep=3
174,2026-05-31 15:51:21,iphone 17,wifi_physical_sanity,8.0,P8,blocked,-67.0,ssid=TP_Link_Router; rep=4
175,2026-05-31 15:51:24,iphone 17,wifi_physical_sanity,8.0,P8,blocked,-55.0,ssid=TP_Link_Router; rep=5
176,2026-05-31 15:51:26,iphone 17,wifi_physical_sanity,8.0,P8,blocked,-60.0,ssid=TP_Link_Router; rep=6
177,2026-05-31 15:51:30,iphone 17,wifi_physical_sanity,8.0,P8,blocked,-55.0,ssid=TP_Link_Router; rep=7
178,2026-05-31 15:51:32,iphone 17,wifi_physical_sanity,8.0,P8,blocked,-62.0,ssid=TP_Link_Router; rep=8
179,2026-05-31 15:51:35,iphone 17,wifi_physical_sanity,8.0,P8,blocked,-66.0,ssid=TP_Link_Router; rep=9
180,2026-05-31 15:51:41,iphone 17,wifi_physical_sanity,8.0,P8,blocked,-62.0,ssid=TP_Link_Router; rep=10
181,2026-05-31 15:52:18,iphone 17,wifi_physical_sanity,9.0,P9,blocked,-52.0,ssid=TP_Link_Router; rep=1
182,2026-05-31 15:52:23,iphone 17,wifi_physical_sanity,9.0,P9,blocked,-53.0,ssid=TP_Link_Router; rep=2
183,2026-05-31 15:52:26,iphone 17,wifi_physical_sanity,9.0,P9,blocked,-54.0,ssid=TP_Link_Router; rep=3
184,2026-05-31 15:52:28,iphone 17,wifi_physical_sanity,9.0,P9,blocked,-61.0,ssid=TP_Link_Router; rep=4
185,2026-05-31 15:52:31,iphone 17,wifi_physical_sanity,9.0,P9,blocked,-58.0,ssid=TP_Link_Router; rep=5
186,2026-05-31 15:52:33,iphone 17,wifi_physical_sanity,9.0,P9,blocked,-55.0,ssid=TP_Link_Router; rep=6
187,2026-05-31 15:52:36,iphone 17,wifi_physical_sanity,9.0,P9,blocked,-53.0,ssid=TP_Link_Router; rep=7
188,2026-05-31 15:52:39,iphone 17,wifi_physical_sanity,9.0,P9,blocked,-58.0,ssid=TP_Link_Router; rep=8
189,2026-05-31 15:52:43,iphone 17,wifi_physical_sanity,9.0,P9,blocked,-50.0,ssid=TP_Link_Router; rep=9
190,2026-05-31 15:52:48,iphone 17,wifi_physical_sanity,9.0,P9,blocked,-60.0,ssid=TP_Link_Router; rep=10
191,2026-05-31 15:53:10,iphone 17,wifi_physical_sanity,10.0,P10,blocked,-68.0,ssid=TP_Link_Router; rep=1
192,2026-05-31 15:53:13,iphone 17,wifi_physical_sanity,10.0,P10,blocked,-59.0,ssid=TP_Link_Router; rep=2
193,2026-05-31 15:53:16,iphone 17,wifi_physical_sanity,10.0,P10,blocked,-57.0,ssid=TP_Link_Router; rep=3
194,2026-05-31 15:53:18,iphone 17,wifi_physical_sanity,10.0,P10,blocked,-73.0,ssid=TP_Link_Router; rep=4
195,2026-05-31 15:53:20,iphone 17,wifi_physical_sanity,10.0,P10,blocked,-68.0,ssid=TP_Link_Router; rep=5
196,2026-05-31 15:53:23,iphone 17,wifi_physical_sanity,10.0,P10,blocked,-75.0,ssid=TP_Link_Router; rep=6
197,2026-05-31 15:53:25,iphone 17,wifi_physical_sanity,10.0,P10,blocked,-62.0,ssid=TP_Link_Router; rep=7
198,2026-05-31 15:53:28,iphone 17,wifi_physical_sanity,10.0,P10,blocked,-64.0,ssid=TP_Link_Router; rep=8
199,2026-05-31 15:53:31,iphone 17,wifi_physical_sanity,10.0,P10,blocked,-73.0,ssid=TP_Link_Router; rep=9
200,2026-05-31 15:53:34,iphone 17,wifi_physical_sanity,10.0,P10,blocked,-63.0,ssid=TP_Link_Router; rep=10
