seed,scenario,method_family,method_label,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step
105,s2_wifi_degraded,dsp_static,static_fusion_ema,0.6464139966652204,0.6155123322657028,1.0779132008188534,0.87,0.01,0.3758245527876457
105,s3_vlp_blocked,dsp_static,static_fusion_raw,1.043055168681014,0.5280714247528739,2.698797420625102,0.7,0.21,1.4215619357137004
105,s3_vlp_blocked,dsp_static,static_fusion_moving_average,1.0386036173062196,0.8610260278254397,2.27288342499791,0.6,0.14,0.4963852083205146
105,s3_vlp_blocked,dsp_static,static_fusion_median,0.8813685120210313,0.6625925942981948,1.874800708784392,0.74,0.07,0.6057054353283611
105,s3_vlp_blocked,dsp_static,static_fusion_ema,1.091220706354115,0.8605916939427163,2.3106139390584755,0.6,0.16,0.6402502657661641
105,s4_mixed_dynamic,dsp_static,static_fusion_raw,0.8014179790774633,0.4253540856842672,2.401300481298985,0.82,0.14,1.0040490888495317
105,s4_mixed_dynamic,dsp_static,static_fusion_moving_average,0.9349840192533206,0.8226685182536797,1.8681715123068896,0.65,0.09,0.4423476481172104
105,s4_mixed_dynamic,dsp_static,static_fusion_median,0.7928805795916908,0.7487985494052001,1.4134683479877594,0.74,0.03,0.4137776771601782
105,s4_mixed_dynamic,dsp_static,static_fusion_ema,0.9697032676577324,0.7946831635899302,2.071576600386527,0.67,0.12,0.763780520997278
101,s1_clean,gsp_expected,static_raw,0.5548563853086488,0.5070513914939925,0.9061772407969696,0.95,0.0,0.7072379785115105
101,s1_clean,gsp_expected,graph_diffusion_1,0.5551095637089195,0.5173725502090367,0.8966550815601323,0.95,0.0,0.6987029495253243
101,s1_clean,gsp_expected,graph_diffusion_3,0.5572083644713435,0.5122908514022102,0.9071077168515256,0.95,0.0,0.6842910729787736
101,s1_clean,gsp_expected,laplacian,0.554949208971392,0.5186184423719534,0.8919151022761148,0.95,0.0,0.697287047639826
101,s2_wifi_degraded,gsp_expected,static_raw,0.9509205788437026,0.7552568053135325,1.8587087851457336,0.65,0.09,1.338474907249358
101,s2_wifi_degraded,gsp_expected,graph_diffusion_1,0.941452769717604,0.7520983353027862,1.824708803555947,0.65,0.09,1.313826622094251
101,s2_wifi_degraded,gsp_expected,graph_diffusion_3,0.92690298627556,0.7390063194323236,1.7616641584106438,0.65,0.09,1.271895281688483
101,s2_wifi_degraded,gsp_expected,laplacian,0.9436130968875328,0.7563604739728603,1.8402776168960029,0.65,0.09,1.3151928356756557
101,s3_vlp_blocked,gsp_expected,static_raw,0.7989339823091538,0.652986555824042,1.6026527336523853,0.75,0.07,1.0721632045659577
101,s3_vlp_blocked,gsp_expected,graph_diffusion_1,0.7937100554330301,0.6544386785780145,1.5620254917023837,0.75,0.05,1.0516303332942034
101,s3_vlp_blocked,gsp_expected,graph_diffusion_3,0.7870168847448425,0.6499990994919209,1.524225891368371,0.75,0.05,1.0174790257999695
101,s3_vlp_blocked,gsp_expected,laplacian,0.7942634039660653,0.646981392348536,1.558267404071246,0.75,0.05,1.0528078365160365
101,s4_mixed_dynamic,gsp_expected,static_raw,0.9963675739922068,0.8979674666168262,1.929062468544961,0.62,0.09,1.313492744123098
101,s4_mixed_dynamic,gsp_expected,graph_diffusion_1,0.987645603512872,0.876153201733245,1.906472415017072,0.61,0.09,1.2929574459707471
101,s4_mixed_dynamic,gsp_expected,graph_diffusion_3,0.9732586502515304,0.8263967479816503,1.871738129317441,0.64,0.07,1.2575214755294644
101,s4_mixed_dynamic,gsp_expected,laplacian,0.9865038262409992,0.8675612436155321,1.9055079167118136,0.62,0.09,1.2926457771286328
102,s1_clean,gsp_expected,static_raw,0.6949799811634675,0.6097789998337473,1.2676565302823704,0.81,0.02,0.945973564170244
